experiment_id,group_type,scenario_id,cost_case,capital,participation_cap,slippage_bp,avg_fill_ratio,partial_fill_count,zero_fill_count,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing
U0_static_top3000_v7,U,capacity_5000000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.03,10,0.27258613978617613,512,1,67,512,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.03,15,0.27258613978617613,512,1,67,512,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.03,20,0.27258613978617613,512,1,67,512,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.05,5,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.05,10,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.05,15,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.05,20,0.3611912367787948,482,1,97,482,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.1,5,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.1,10,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.1,15,0.517804037267043,425,1,154,425,1,0,0
U0_static_top3000_v7,U,capacity_5000000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,5000000.0,0.1,20,0.517804037267043,425,1,154,425,1,0,0
U1_internal_roll_top3000_60d,U,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0
U1_internal_roll_top3000_60d,U,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0
U1_internal_roll_top3000_60d,U,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0
U1_internal_roll_top3000_60d,U,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_1pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.01,10,0.8017241379310345,0,115,465,0,115,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_1pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_3pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.03,10,0.9741379310344828,0,15,565,0,15,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_3pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_5pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.05,10,0.9913793103448276,0,5,575,0,5,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_5pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0
U1_internal_roll_top3000_60d,U,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.01,5,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.01,15,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.01,20,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.03,5,0.9912193447006765,14,1,565,14,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.03,15,0.9912193447006765,14,1,565,14,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.03,20,0.9912193447006765,14,1,565,14,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.05,5,0.9963192672413793,4,1,575,4,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.05,15,0.9963192672413793,4,1,575,4,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.05,20,0.9963192672413793,4,1,575,4,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.1,5,0.9979979310344828,1,1,578,1,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.1,15,0.9979979310344828,1,1,578,1,1,0,0
U1_internal_roll_top3000_60d,U,capacity_100000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,100000.0,0.1,20,0.9979979310344828,1,1,578,1,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.01,5,0.6604418258269924,366,1,213,366,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.01,10,0.6604418258269924,366,1,213,366,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.01,15,0.6604418258269924,366,1,213,366,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.01,20,0.6604418258269924,366,1,213,366,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,5,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,10,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,15,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.03,20,0.9230832982520665,114,1,465,114,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,5,0.9692272934766203,52,1,527,52,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,10,0.9692272934766203,52,1,527,52,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,15,0.9692272934766203,52,1,527,52,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.05,20,0.9692272934766203,52,1,527,52,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,5,0.9928247825860953,11,1,568,11,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,10,0.9928247825860953,11,1,568,11,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,15,0.9928247825860953,11,1,568,11,1,0,0
U1_internal_roll_top3000_60d,U,capacity_300000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000.0,0.1,20,0.9928247825860953,11,1,568,11,1,0,0
U1_internal_roll_top3000_60d,U,capacity_500000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,5,0.517804037267043,425,1,154,425,1,0,0
U1_internal_roll_top3000_60d,U,capacity_500000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,10,0.517804037267043,425,1,154,425,1,0,0
U1_internal_roll_top3000_60d,U,capacity_500000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,15,0.517804037267043,425,1,154,425,1,0,0
U1_internal_roll_top3000_60d,U,capacity_500000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.01,20,0.517804037267043,425,1,154,425,1,0,0
U1_internal_roll_top3000_60d,U,capacity_500000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.03,5,0.8283795485436911,244,1,335,244,1,0,0
U1_internal_roll_top3000_60d,U,capacity_500000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000.0,0.03,10,0.8283795485436911,244,1,335,244,1,0,0
