experiment_id,group_type,scenario_id,cost_case,capital,participation_cap,slippage_bp,avg_fill_ratio,partial_fill_count,zero_fill_count,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,filter_id,ref_method,filter_capital
F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0,F1_order_lte_10pct_ref_amount,A_tail,100000
F1_order_lte_10pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0,F1_order_lte_10pct_ref_amount,A_tail,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.01,10,0.8017241379310345,0,115,465,0,115,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.03,10,0.9741379310344828,0,15,565,0,15,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.05,10,0.9913793103448276,0,5,575,0,5,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.01,10,0.8017241379310345,0,115,465,0,115,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.03,10,0.9741379310344828,0,15,565,0,15,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.05,10,0.9913793103448276,0,5,575,0,5,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0,F2_order_lte_5pct_ref_amount,A_tail,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.01,10,0.8017241379310345,0,115,465,0,115,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.03,10,0.9741379310344828,0,15,565,0,15,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.05,10,0.9913793103448276,0,5,575,0,5,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F2_order_lte_5pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0,F2_order_lte_5pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.01,10,0.8017241379310345,0,115,465,0,115,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.03,10,0.9741379310344828,0,15,565,0,15,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.05,10,0.9913793103448276,0,5,575,0,5,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0,F3_order_lte_3pct_ref_amount,A_tail,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.01,10,0.8017241379310345,0,115,465,0,115,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_1pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.01,10,0.9230832982520665,114,1,465,114,1,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.03,10,0.9741379310344828,0,15,565,0,15,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_3pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.03,10,0.9912193447006765,14,1,565,14,1,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.05,10,0.9913793103448276,0,5,575,0,5,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_5pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.05,10,0.9963192672413793,4,1,575,4,1,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_no_partial,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap,100000.0,0.1,10,0.996551724137931,0,2,578,0,2,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F3_order_lte_3pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F,10bp_slippage_plus_impact_participation_10pct_partial_zero,10bp_one_way_slippage_plus_impact_cost_plus_participation_cap_plus_partial_zero_fill,100000.0,0.1,10,0.9979979310344828,1,1,578,1,1,0,0,F3_order_lte_3pct_ref_amount,B_tail_and_past20_exit_proxy,100000
F4_order_lte_1pct_ref_amount_A_tail_capital_100000,F,5bp_one_way_slippage,5bp_one_way_slippage,,,5,1.0,0,0,580,0,0,0,0,F4_order_lte_1pct_ref_amount,A_tail,100000
F4_order_lte_1pct_ref_amount_A_tail_capital_100000,F,10bp_one_way_slippage,10bp_one_way_slippage,,,10,1.0,0,0,580,0,0,0,0,F4_order_lte_1pct_ref_amount,A_tail,100000
F4_order_lte_1pct_ref_amount_A_tail_capital_100000,F,15bp_one_way_slippage,15bp_one_way_slippage,,,15,1.0,0,0,580,0,0,0,0,F4_order_lte_1pct_ref_amount,A_tail,100000
F4_order_lte_1pct_ref_amount_A_tail_capital_100000,F,20bp_one_way_slippage,20bp_one_way_slippage,,,20,1.0,0,0,580,0,0,0,0,F4_order_lte_1pct_ref_amount,A_tail,100000
F4_order_lte_1pct_ref_amount_A_tail_capital_100000,F,10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,1.0,0,0,580,0,0,0,0,F4_order_lte_1pct_ref_amount,A_tail,100000
